data	origin	source	ports
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[4,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[5,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[6,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[7,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[8,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[9,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[10,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"googMsgType":"adpnt"}	http://www.newsmax.com	[object Window]	
{"googMsgType":"adpnt"}	http://tpc.googlesyndication.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[11,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"googMsgType":"adpnt"}	http://tpc.googlesyndication.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[12,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"googMsgType":"adpnt"}	http://tpc.googlesyndication.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[13,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[14,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[15,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[16,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[17,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[18,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[19,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[20,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"googMsgType":"adpnt"}	http://www.newsmax.com	[object Window]	
{"googMsgType":"adpnt"}	http://tpc.googlesyndication.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[21,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"googMsgType":"adpnt"}	http://tpc.googlesyndication.com	[object Window]	
{"googMsgType":"adpnt"}	http://tpc.googlesyndication.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[22,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[23,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[24,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
{"s":"__cb","f":"oauth2relay381656171","c":0,"a":[25,true],"t":"676851415","l":false,"g":true,"r":"oauth2relay381656171"}	https://accounts.google.com	[object Window]	
